EpRewMean,EpLenMean,KL,TotalRewardMean,EpRewSEM,EVAfter,EVBefore
-9104.050021282841,110.0,nan,-975199.3695387657,1465.375381760307,nan,nan
-11461.232062586274,110.0,nan,-986660.601601352,1763.090770281407,nan,nan
-13371.139623457339,110.0,nan,-1000031.7412248093,2532.5633198009214,nan,nan
-14984.26223195344,110.0,nan,-1015016.0034567628,3303.5818339947464,nan,nan
-16436.31455088156,105.875,nan,-1031452.3180076443,3121.012772968437,nan,nan
-22262.678943559993,105.875,nan,-1053714.9969512043,5406.2523619534395,nan,nan
-13011.716239169858,102.08,nan,-1066726.7131903742,2084.274015436063,nan,nan
-17415.70413949863,110.0,nan,-1084142.4173298727,4064.6061712924966,nan,nan
-21639.47874678404,110.0,nan,-1105781.8960766569,4527.174965727527,nan,nan
-16589.967992040758,110.0,nan,-1122371.8640686977,2990.3152613873444,nan,nan
-15738.004207085456,110.0,nan,-1138109.868275783,2780.075026178187,nan,nan
-13693.954277062257,110.0,nan,-1151803.8225528453,2883.9787310774286,nan,nan
-17791.55729929743,110.0,nan,-1169595.3798521429,3652.8117061767034,nan,nan
-19921.32685380612,110.0,nan,-1189516.706705949,5898.718536653458,nan,nan
-17028.521120768757,110.0,nan,-1206545.2278267178,3386.2669746439306,nan,nan
-14935.301201374643,110.0,nan,-1221480.5290280925,2054.0539838983705,nan,nan
-11274.641130813896,102.08,nan,-1232755.1701589064,2011.8549828217253,nan,nan
-15992.627037644477,110.0,nan,-1248747.7971965508,3506.4428239255544,nan,nan
-12372.485844544044,110.0,nan,-1261120.283041095,3160.4110603082945,nan,nan
-11982.66525303919,110.0,nan,-1273102.948294134,1975.7931023643714,nan,nan
-14409.855909937205,102.08,nan,-1287512.8042040714,2762.2002648126463,nan,nan
-17611.937099552826,105.875,nan,-1305124.7413036241,3992.244078246743,nan,nan
-11118.793554235011,105.875,nan,-1316243.5348578591,2098.1354278280023,nan,nan
-14572.02774104277,110.0,nan,-1330815.5625989018,2355.3692859800867,nan,nan
-12711.876325630734,105.875,nan,-1343527.4389245326,2053.220783064321,nan,nan
-10030.720517506637,105.875,nan,-1353558.1594420392,1955.4007159785324,nan,nan
-13280.01735541351,110.0,nan,-1366838.1767974526,3561.4800262534814,nan,nan
-14984.152619397199,110.0,nan,-1381822.3294168499,2192.0215315018936,nan,nan
-12278.01242222745,110.0,nan,-1394100.3418390774,2147.426839856362,nan,nan
-17566.48264142947,110.0,nan,-1411666.8244805068,4425.447548840972,nan,nan
-16323.28080763651,110.0,nan,-1427990.1052881433,4230.418188577427,nan,nan
-14877.993878636737,105.875,nan,-1442868.09916678,2593.6415782745858,nan,nan
-11427.772513756048,110.0,nan,-1454295.871680536,2201.921018119345,nan,nan
-9530.161695560757,105.875,nan,-1463826.0333760967,1725.428791952936,nan,nan
-19421.53861462783,105.875,nan,-1483247.5719907247,3941.6169059951026,nan,nan
-15462.086080281273,110.0,nan,-1498709.658071006,1971.7123935980023,nan,nan
-15476.306639926985,102.08,nan,-1514185.964710933,3619.797285485748,nan,nan
-21679.30392580094,110.0,nan,-1535865.2686367338,4914.863551736913,nan,nan
-11800.479966437431,110.0,nan,-1547665.7486031712,1887.8485508279907,nan,nan
-15883.105699833928,110.0,nan,-1563548.8543030052,3552.642033381361,nan,nan
-17176.437173241113,110.0,nan,-1580725.2914762462,3208.901997432788,nan,nan
-13859.052025095107,110.0,nan,-1594584.3435013413,2294.54228017398,nan,nan
-10459.077145087434,105.875,nan,-1605043.4206464288,1732.146368819474,nan,nan
-14145.257846989836,110.0,nan,-1619188.6784934187,1998.1504265788778,nan,nan
-14942.649829738813,110.0,nan,-1634131.3283231575,3160.8857159655636,nan,nan
-18039.797058748543,110.0,nan,-1652171.125381906,3555.9920099890815,nan,nan
-16355.055747254692,110.0,nan,-1668526.1811291608,3107.651283606104,nan,nan
-20927.03067198243,110.0,nan,-1689453.2118011431,5416.457572784739,nan,nan
-17332.378139876313,110.0,nan,-1706785.5899410194,3371.34518753718,nan,nan
-12329.73624937662,110.0,nan,-1719115.326190396,2436.2851675650536,nan,nan
-14550.019321326758,102.08,nan,-1733665.3455117228,3948.8881087808136,nan,nan
-18635.997522198133,110.0,nan,-1752301.343033921,6042.299010442226,nan,nan
-11744.236516712557,110.0,nan,-1764045.5795506334,1479.6627317861373,nan,nan
-11006.041367536669,110.0,nan,-1775051.62091817,1628.9997064830907,nan,nan
-11840.079297789664,110.0,nan,-1786891.7002159597,1845.3356626869277,nan,nan
-23519.397115597047,110.0,nan,-1810411.0973315567,7062.758036309413,nan,nan
-14033.452436082378,105.875,nan,-1824444.549767639,2899.7432813932974,nan,nan
-14103.727671493181,110.0,nan,-1838548.277439132,3430.090930793728,nan,nan
-12685.380392248951,110.0,nan,-1851233.657831381,2918.857061207254,nan,nan
-12963.150469465121,110.0,nan,-1864196.8083008463,2994.212291595634,nan,nan
-15823.66735647758,110.0,nan,-1880020.4756573238,4699.242792330542,nan,nan
-11514.290941160218,110.0,nan,-1891534.766598484,996.0223103663585,nan,nan
-17766.167300964404,110.0,nan,-1909300.9338994485,3862.3645048075264,nan,nan
-19575.652106483456,110.0,nan,-1928876.586005932,4396.654764381033,nan,nan
-12738.017064782543,110.0,nan,-1941614.6030707145,3373.8623050469228,nan,nan
-17815.09169554128,110.0,nan,-1959429.6947662558,3653.633045724582,nan,nan
-22621.469574638246,110.0,nan,-1982051.164340894,4676.354468573728,nan,nan
-12345.503477146454,110.0,nan,-1994396.6678180404,2770.2532017597705,nan,nan
-11029.639605905146,98.57692307692308,nan,-2005426.3074239455,1632.8850713641273,nan,nan
-13937.225891773085,110.0,nan,-2019363.5333157186,2827.3675638254113,nan,nan
-11088.395545933789,110.0,nan,-2030451.9288616525,1467.6601304196931,nan,nan
-16852.025518883635,110.0,nan,-2047303.9543805362,3495.2882479736822,nan,nan
-12775.763974391954,110.0,nan,-2060079.718354928,2365.3646611440167,nan,nan
-12832.131085646903,110.0,nan,-2072911.8494405749,1896.9984967105677,nan,nan
-15633.444231232721,102.08,nan,-2088545.2936718075,2912.889376767818,nan,nan
-10595.365091796239,105.875,nan,-2099140.658763604,1803.972382496533,nan,nan
-13048.599027703885,105.875,nan,-2112189.2577913078,1935.8001403224232,nan,nan
-12632.705120163375,110.0,nan,-2124821.9629114713,2441.6409614336017,nan,nan
-15662.69363617608,110.0,nan,-2140484.6565476474,4742.179687218014,nan,nan
-12177.028442353976,105.875,nan,-2152661.6849900014,3335.3190959266135,nan,nan
-11755.690057624752,110.0,nan,-2164417.375047626,2194.8066046614226,nan,nan
-14321.508147141087,105.875,nan,-2178738.883194767,2499.292522437905,nan,nan
-15226.586886080817,110.0,nan,-2193965.470080848,3221.148218751024,nan,nan
-12792.518215898182,105.875,nan,-2206757.988296746,2102.8460215030823,nan,nan
-11862.375760406047,110.0,nan,-2218620.364057152,1684.368425119583,nan,nan
-11298.620605076936,110.0,nan,-2229918.984662229,1810.295467955095,nan,nan
-18542.254498654107,110.0,nan,-2248461.2391608832,4265.308477856058,nan,nan
-14728.70406807581,110.0,nan,-2263189.943228959,3396.9308630201413,nan,nan
-16076.432464857839,110.0,nan,-2279266.375693817,2693.1034084221196,nan,nan
-13648.374394857081,110.0,nan,-2292914.750088674,1976.2085253746698,nan,nan
-17247.119235914623,110.0,nan,-2310161.8693245887,3792.8648487115856,nan,nan
-20154.6519628578,110.0,nan,-2330316.5212874464,5678.5277956676455,nan,nan
-17002.775241144926,110.0,nan,-2347319.2965285913,2975.851004371641,nan,nan
-12814.902581547896,105.875,nan,-2360134.199110139,2240.6211830063826,nan,nan
-17438.370603002586,110.0,nan,-2377572.569713142,3141.973012342202,nan,nan
-19159.389792028087,110.0,nan,-2396731.9595051697,3775.1359266244353,nan,nan
-17761.1385964038,105.875,nan,-2414493.0981015735,4834.145450204012,nan,nan
-10944.623955894167,110.0,nan,-2425437.722057468,1994.1342226456509,nan,nan
-10298.160351261044,105.875,nan,-2435735.882408729,1531.747535591072,nan,nan
-17565.72704376072,110.0,nan,-2453301.6094524898,5116.165086165599,nan,nan
-15559.831367006438,105.875,nan,-2468861.4408194963,2543.213389017256,nan,nan
-18217.62692535972,110.0,nan,-2487079.0677448562,3869.4956170339374,nan,nan
-15229.283977833951,110.0,nan,-2502308.3517226903,3832.290111409558,nan,nan
-15579.648930153216,110.0,nan,-2517888.0006528436,3567.575762153641,nan,nan
-19866.646991423586,110.0,nan,-2537754.6476442674,4207.367919334658,nan,nan
-22888.797638718246,105.875,nan,-2560643.4452829855,6782.030505429036,nan,nan
-12577.851331338767,110.0,nan,-2573221.296614324,2713.1079541369836,nan,nan
-18081.60833317681,110.0,nan,-2591302.904947501,3289.5935736916254,nan,nan
-11434.217296127392,110.0,nan,-2602737.1222436284,1777.8201327770014,nan,nan
-11531.686244260087,110.0,nan,-2614268.8084878884,1707.6579961991508,nan,nan
-10286.291922190314,105.875,nan,-2624555.1004100787,1601.3883670200055,nan,nan
-17004.936043081318,110.0,nan,-2641560.03645316,6388.149546307447,nan,nan
-16461.924730874198,110.0,nan,-2658021.961184034,4171.752755776047,nan,nan
-8401.484510810467,110.0,nan,-2666423.4456948447,1636.1033285645124,nan,nan
-17209.26137057548,105.875,nan,-2683632.70706542,2935.9601362388985,nan,nan
-14027.949422139814,110.0,nan,-2697660.65648756,3001.952203461502,nan,nan
-17280.28544200596,110.0,nan,-2714940.9419295657,2397.8000064331877,nan,nan
-13151.398151533807,110.0,nan,-2728092.3400810994,2479.5773705108195,nan,nan
-13088.6123638173,105.875,nan,-2741180.9524449166,1662.750616655303,nan,nan
-12683.080959704095,110.0,nan,-2753864.033404621,1817.4355391161782,nan,nan
-20932.61340196152,110.0,nan,-2774796.6468065823,6233.172523760989,nan,nan
-21509.410767907346,110.0,nan,-2796306.0575744896,6260.1598125180635,nan,nan
-16355.673984009778,110.0,nan,-2812661.7315584994,2716.6187230055184,nan,nan
-12053.259557132258,110.0,nan,-2824714.9911156315,1999.796331578269,nan,nan
-16104.243981854084,110.0,nan,-2840819.2350974856,3715.371323248296,nan,nan
-14318.15385162955,110.0,nan,-2855137.3889491153,1964.9566952015437,nan,nan
-16308.296917456708,110.0,nan,-2871445.685866572,3854.2756843504976,nan,nan
-10549.193397851079,105.875,nan,-2881994.879264423,1457.4265095555554,nan,nan
-14524.251523985347,110.0,nan,-2896519.1307884087,2305.5681673062313,nan,nan
-15525.759439986728,110.0,nan,-2912044.8902283954,5560.019480534068,nan,nan
-11207.25520725363,110.0,nan,-2923252.145435649,1525.7396231797948,nan,nan
-17583.32629376459,110.0,nan,-2940835.4717294136,3725.507676386185,nan,nan
-14472.13272994416,110.0,nan,-2955307.604459358,1932.14093305639,nan,nan
-15813.578831971658,110.0,nan,-2971121.1832913295,2494.759436967821,nan,nan
-16398.32247716028,110.0,nan,-2987519.50576849,4162.3446418445,nan,nan
-18160.686875708292,105.875,nan,-3005680.1926441984,3249.355834021154,nan,nan
-9406.39964911902,110.0,nan,-3015086.5922933174,1763.769941460096,nan,nan
-12588.01387131766,110.0,nan,-3027674.606164635,1829.7248398632717,nan,nan
-13161.636686639127,110.0,nan,-3040836.242851274,2463.459141823733,nan,nan
-13722.57622795283,110.0,nan,-3054558.819079227,3763.503135643738,nan,nan
-15526.36741798158,110.0,nan,-3070085.186497208,2669.1179986153456,nan,nan
-12053.976983007287,110.0,nan,-3082139.1634802157,2287.7490235629566,nan,nan
-13641.283258891695,110.0,nan,-3095780.4467391074,3156.2415507596775,nan,nan
-13908.46620544546,110.0,nan,-3109688.912944553,2607.660477728845,nan,nan
-12169.158386702153,110.0,nan,-3121858.071331255,2251.3799350477084,nan,nan
-11614.981996410563,105.875,nan,-3133473.0533276657,1699.7499378990537,nan,nan
-13750.149410989072,110.0,nan,-3147223.202738655,1870.0225712533975,nan,nan
-19612.009874883854,110.0,nan,-3166835.212613539,4373.530669935009,nan,nan
-11125.792923465533,110.0,nan,-3177961.005537004,2244.0717546131445,nan,nan
-10623.77024512059,110.0,nan,-3188584.7757821246,1855.2722340039138,nan,nan
-16110.851064667771,110.0,nan,-3204695.626846792,3755.294545699193,nan,nan
-16143.830669118712,110.0,nan,-3220839.4575159107,3043.3958399663034,nan,nan
-12187.871949471424,105.875,nan,-3233027.3294653823,1904.4732449137134,nan,nan
-12099.542912522389,105.875,nan,-3245126.8723779046,2665.648254700964,nan,nan
-13976.646237757574,110.0,nan,-3259103.518615662,2901.2355157508355,nan,nan
-16149.412025183898,110.0,nan,-3275252.930640846,3435.1133657708574,nan,nan
-14240.757061564378,105.875,nan,-3289493.6877024104,2861.5185642198244,nan,nan
-20330.056546440486,110.0,nan,-3309823.7442488507,4638.938680230195,nan,nan
-19301.98255910993,110.0,nan,-3329125.726807961,3807.9324981857385,nan,nan
-14912.562005894573,105.875,nan,-3344038.2888138555,4309.1041715124575,nan,nan
-18485.215894756602,110.0,nan,-3362523.504708612,4246.543348892012,nan,nan
